name,population,type_of_meteorite,density,land,migrants,age,fertility,year,database,year_date,created_at,updated_at,cartodb_id,coordinate_1,lat,coordinates_2,long,geojson
Germany,80636124,,231,349,250,46,1.39,1920,,02/01/1920 00:00,56:02.8,11:51.9,2,51.165691,51.165691,10.451526,10.451526,"{""type"":""Point"",""coordinates"":[51.165691,10.451526]}"
France,64938716,,119,548,66,41,2,1920,,03/01/1920 00:00,56:02.8,11:51.9,3,46.227638,46.227638,2.213749,2.213749,"{""type"":""Point"",""coordinates"":[46.227638,2.213749]}"
Albania,2911428,,106,27,-18,34,1.78,1920,,04/01/1920 00:00,56:02.8,11:51.9,4,41.153332,41.153332,20.168331,20.168331,"{""type"":""Point"",""coordinates"":[41.153332,20.168331]}"
Turkey,80417526,,105,770,400,30,2.1,1920,,06/01/1920 00:00,56:02.8,11:51.9,6,38.963745,38.963745,35.243322,35.243322,"{""type"":""Point"",""coordinates"":[38.963745,35.243322]}"
Spain,46070146,,92,499,-119,43,1.32,1920,,07/01/1920 00:00,56:02.8,11:51.9,7,40.463667,40.463667,-3.74922,-3.74922,"{""type"":""Point"",""coordinates"":[40.463667,-3.74922]}"
Slovenia,2071252,,103,20,865,43,1.58,1920,,08/01/1920 00:00,56:02.8,11:51.9,8,46.151241,46.151241,14.995463,14.995463,"{""type"":""Point"",""coordinates"":[46.151241,14.995463]}"
Slovakia,5432157,,113,48,240,39,1.37,1920,,09/01/1920 00:00,56:02.8,11:51.9,9,48.669026,48.669026,19.699024,19.699024,"{""type"":""Point"",""coordinates"":[48.669026,19.699024]}"
Romania,19237513,,84,230,-87,42,1.48,1920,,10/01/1920 00:00,56:02.8,11:51.9,10,45.943161,45.943161,24.96676,24.96676,"{""type"":""Point"",""coordinates"":[45.943161,24.96676]}"
Portugal,10264797,,112,92,-28,44,1.28,1920,,11/01/1920 00:00,56:02.8,11:51.9,11,39.399872,39.399872,-8.224454,-8.224454,"{""type"":""Point"",""coordinates"":[39.399872,-8.224454]}"
Poland,38563573,,126,306,-15,40,1.37,1920,,12/01/1920 00:00,56:02.8,11:51.9,12,51.919438,51.919438,19.145136,19.145136,"{""type"":""Point"",""coordinates"":[51.919438,19.145136]}"
Norway,5330800,,15,365,47,39,1.8,1920,,13/01/1920 00:00,56:02.8,11:51.9,13,60.472024,60.472024,8.468946,8.468946,"{""type"":""Point"",""coordinates"":[60.472024,8.468946]}"
Netherlands,17032845,,505,34,22,43,1.75,1920,,14/01/1920 00:00,56:02.8,11:51.9,14,52.132633,52.132633,5.291266,5.291266,"{""type"":""Point"",""coordinates"":[52.132633,5.291266]}"
Luxembourg,584103,,226,3,10,39,1.57,1920,,15/01/1920 00:00,56:02.8,11:51.9,15,49.815273,49.815273,6.129583,6.129583,"{""type"":""Point"",""coordinates"":[49.815273,6.129583]}"
Lithuania,2830582,,45,63,-34,43,1.57,1920,,16/01/1920 00:00,56:02.8,11:51.9,16,55.169438,55.169438,23.881275,23.881275,"{""type"":""Point"",""coordinates"":[55.169438,23.881275]}"
Latvia,1944565,,31,62,-15,43,1.48,1920,,17/01/1920 00:00,56:02.8,11:51.9,17,56.879635,56.879635,24.603189,24.603189,"{""type"":""Point"",""coordinates"":[56.879635,24.603189]}"
Italy,59797978,,203,294,106,46,1.43,1920,,18/01/1920 00:00,56:02.8,11:51.9,18,41.87194,41.87194,12.56738,12.56738,"{""type"":""Point"",""coordinates"":[41.87194,12.56738]}"
Iceland,334303,,3,101,-76,36,1.96,1920,,19/01/1920 00:00,56:02.8,11:51.9,19,64.963051,64.963051,-19.020835,-19.020835,"{""type"":""Point"",""coordinates"":[64.963051,-19.020835]}"
Hungary,9787905,,108,91,6,41,1.34,1920,,20/01/1920 00:00,56:02.8,11:51.9,20,47.162494,47.162494,19.503304,19.503304,"{""type"":""Point"",""coordinates"":[47.162494,19.503304]}"
Greece,10892931,,85,129,-27,44,1.34,1920,,21/01/1920 00:00,56:02.8,11:51.9,21,39.074208,39.074208,21.824312,21.824312,"{""type"":""Point"",""coordinates"":[39.074208,21.824312]}"
Estonia,1305755,,31,42,-2,42,1.59,1920,,22/01/1920 00:00,56:02.8,11:51.9,22,58.595272,58.595272,25.013607,25.013607,"{""type"":""Point"",""coordinates"":[58.595272,25.013607]}"
Denmark,5711837,,135,42,19,42,1.73,1920,,23/01/1920 00:00,56:02.8,11:51.9,23,56.26392,56.26392,9.501785,9.501785,"{""type"":""Point"",""coordinates"":[56.26392,9.501785]}"
Croatia,4209815,,75,56,-4,43,1.52,1920,,25/01/1920 00:00,56:02.8,11:51.9,25,45.1,45.1,15.2,15.2,"{""type"":""Point"",""coordinates"":[45.1,15.2]}"
